ID,Text,Comment
human-made-translation,"human-made-translation",
Calloatti.SimpleConfig.ModSettings,"Налаштування моду",
Calloatti.SimpleConfig.SaveChanges,"Зберегти зміни",
Calloatti.SimpleConfig.ValidationFailed,"Помилка перевірки!",
Calloatti.SimpleConfig.Saved,"Збережено!",
Calloatti.SimpleConfig.Key,"Ключ:",
Calloatti.SimpleConfig.Default,"Типово:",
Calloatti.SimpleConfig.None,"Немає",
Calloatti.SimpleConfig.Min,"Мін:",
Calloatti.SimpleConfig.Max,"Макс:",
Calloatti.SimpleConfig.RequiresRestart,"[Потрібен перезапуск]",
Calloatti.SimpleConfig.RequiresReload,"[Потрібне перезавантаження]",
Calloatti.SimpleConfig.CurrentValue,"Поточне:",
